G10000-5-10.graph: 1 components, Alt1: 0.045534147999999774 seconds, Alt2: 0.07286473200000021 seconds
G10000-10-1.graph: 1 components, Alt1: 0.13355395000000136 seconds, Alt2: 0.13982541599999898 seconds
G10000-10-2.graph: 1 components, Alt1: 0.13546517300000005 seconds, Alt2: 0.11213379699999848 seconds
G10000-10-3.graph: 1 components, Alt1: 0.15008704399999928 seconds, Alt2: 0.1492971679999986 seconds
G10000-10-4.graph: 1 components, Alt1: 0.12918449200000026 seconds, Alt2: 0.15247989100000048 seconds
G10000-10-5.graph: 1 components, Alt1: 0.15354631299999966 seconds, Alt2: 0.11659219999999948 seconds
G10000-10-6.graph: 1 components, Alt1: 0.12929153900000045 seconds, Alt2: 0.09148280399999997 seconds
G10000-10-7.graph: 1 components, Alt1: 0.1054809549999991 seconds, Alt2: 0.12056674699999981 seconds
G10000-10-8.graph: 1 components, Alt1: 0.09006702500000152 seconds, Alt2: 0.1561204880000009 seconds
G10000-10-9.graph: 1 components, Alt1: 0.12542986899999953 seconds, Alt2: 0.10466597399999955 seconds
G10000-10-10.graph: 1 components, Alt1: 0.13689164200000015 seconds, Alt2: 0.14650339700000004 seconds
G100000-1-1.graph: 2597 components, Alt1: 0.2768926759999992 seconds, Alt2: 0.2926844250000009 seconds
G100000-1-2.graph: 2575 components, Alt1: 0.28481701799999826 seconds, Alt2: 0.30822419600000117 seconds
G100000-1-3.graph: 2673 components, Alt1: 0.2841976670000008 seconds, Alt2: 0.30589219200000173 seconds
G100000-1-4.graph: 2613 components, Alt1: 0.2886534979999986 seconds, Alt2: 0.30447282100000095 seconds
G100000-1-5.graph: 2680 components, Alt1: 0.2819081710000013 seconds, Alt2: 0.3026354330000025 seconds
G100000-1-6.graph: 2641 components, Alt1: 0.3118054170000022 seconds, Alt2: 0.3016244410000013 seconds
G100000-1-7.graph: 2699 components, Alt1: 0.27544467999999966 seconds, Alt2: 0.35424473199999795 seconds
G100000-1-8.graph: 2680 components, Alt1: 0.2789099329999978 seconds, Alt2: 0.326526273999999 seconds
G100000-1-9.graph: 2710 components, Alt1: 0.2816361769999993 seconds, Alt2: 0.3023787480000024 seconds
G100000-1-10.graph: 2686 components, Alt1: 0.2774277589999983 seconds, Alt2: 0.30820194 seconds
G100000-2-1.graph: 64 components, Alt1: 0.4928206299999971 seconds, Alt2: 0.44332065400000076 seconds
G100000-2-2.graph: 72 components, Alt1: 0.47330104799999617 seconds, Alt2: 0.43601944799999615 seconds
G100000-2-3.graph: 85 components, Alt1: 0.4932564299999953 seconds, Alt2: 0.4616280649999993 seconds
G100000-2-4.graph: 68 components, Alt1: 0.5358686390000003 seconds, Alt2: 0.3641521820000051 seconds
G100000-2-5.graph: 69 components, Alt1: 0.5398491320000005 seconds, Alt2: 0.37245132999999697 seconds
G100000-2-6.graph: 58 components, Alt1: 0.4668951489999955 seconds, Alt2: 0.46183816099999575 seconds
G100000-2-7.graph: 66 components, Alt1: 0.47148607400000486 seconds, Alt2: 0.3764977400000049 seconds
G100000-2-8.graph: 72 components, Alt1: 0.5071095910000025 seconds, Alt2: 0.4560236050000057 seconds
G100000-2-9.graph: 67 components, Alt1: 0.507107352999995 seconds, Alt2: 0.45249432899999675 seconds
G100000-2-10.graph: 80 components, Alt1: 0.4852587339999985 seconds, Alt2: 0.4576398220000044 seconds
